trade_num,direction,favored,entry_time,exit_time,exit_reason,levels_filled,l1_price,blended_entry,exit_price,pnl,fees,equity_before,equity_after,hold_minutes
326,long,Y,2021-08-19 08:00:00,2021-08-19 08:02:00,TP,1,44723.06,44723.06,44946.65,12.4667,1.6811,5657.41,5669.88,2
327,long,Y,2021-08-19 12:00:00,2021-08-19 12:43:00,TP,1,44275.15,44275.15,44496.50,12.4855,1.6873,5667.38,5679.86,43
328,long,Y,2021-08-24 20:00:00,2021-08-25 02:45:00,TP,2,48191.89,48030.96,48271.09,37.4394,5.1542,5673.98,5711.42,405
329,long,Y,2021-08-25 04:00:00,2021-08-25 05:36:00,TP,1,48028.14,48028.14,48268.25,12.5731,1.7037,5708.91,5721.48,96
330,long,Y,2021-08-25 08:00:00,2021-08-25 12:19:00,TP,3,48131.04,47465.95,47703.25,100.6603,13.7548,5707.06,5807.72,259
331,long,Y,2021-08-26 04:00:00,2021-08-26 05:01:00,TP,2,47891.06,47731.14,47969.76,38.3634,5.1891,5801.71,5840.07,61
332,long,Y,2021-08-26 08:00:00,2021-08-26 08:54:00,TP,1,46861.88,46861.88,47096.16,12.8595,1.7388,5837.50,5850.36,54
333,long,Y,2021-08-26 12:00:00,2021-08-26 12:16:00,TP,2,46822.70,46666.34,46899.65,38.6556,5.2165,5844.30,5882.96,16
334,long,Y,2021-08-26 16:00:00,2021-08-26 16:36:00,TP,2,46796.43,46640.16,46873.33,38.8662,5.2503,5876.87,5915.74,36
335,long,Y,2021-08-26 20:00:00,2021-08-26 21:04:00,TP,1,46903.55,46903.55,47138.04,13.0253,1.7621,5913.13,5926.15,64
336,long,Y,2021-08-27 00:00:00,2021-08-27 00:05:00,TP,1,46762.42,46762.42,46996.20,13.0530,1.7605,5923.54,5936.59,5
337,long,Y,2021-08-27 04:00:00,2021-08-27 04:48:00,TP,2,46862.46,46705.97,46939.47,39.2176,5.3011,5930.45,5969.66,48
338,long,Y,2021-08-30 04:00:00,2021-08-30 04:11:00,TP,1,47864.86,47864.86,48104.15,13.1484,1.7739,5967.03,5980.18,11
339,long,Y,2021-08-30 08:00:00,2021-08-30 08:41:00,TP,1,47903.42,47903.42,48142.91,13.1691,1.7794,5977.54,5990.71,41
340,long,Y,2021-08-30 12:00:00,2021-08-30 14:02:00,TP,2,47844.94,47685.17,47923.57,39.5573,5.3674,5984.51,6024.07,122
341,long,Y,2021-08-31 00:00:00,2021-08-31 03:22:00,TP,1,46920.77,46920.77,47155.34,13.2526,1.8056,6021.41,6034.67,202
342,long,Y,2021-08-31 04:00:00,2021-08-31 07:21:00,TP,2,47124.66,46967.30,47202.10,39.8280,5.4262,6028.42,6068.25,201
343,long,Y,2021-08-31 08:00:00,2021-08-31 11:33:00,TP,2,47759.67,47600.19,47838.16,40.0468,5.4593,6061.97,6102.01,213
